"","gender","home_location","level_of_education","age_years","number_of_subjects","devices_used","economic_status","family_size","internet_facility","sport_engagement","elder_supervising","study_time","sleep_time","social_media_time","gaming_interest","separate_room_study","group_study_engagement","average_mark_score","online_mode_interaction","interested","performance_level","satisfaction_level"
"32","Female","Urban","School","18","3","Desktop","Middle Class","5","5","Yes","Yes","6","8","2","No","Yes","No","81-90","3","Theory","8","Average"
"33","Male","Urban","Post Graduate","21","6","Laptop","Middle Class","5","3","Yes","No","4","6","1","No","No","No","71-80","3","Both","5","Average"
"34","Male","Urban","Under Graduate","19","7","Laptop","Middle Class","4","4","Yes","No","5","7","1","No","Yes","yes","91-100","5","Both","6","Good"
"35","Male","Urban","Under Graduate","18","8","Laptop","Middle Class","3","4","Yes","Yes","4","5","2","No","Yes","No","81-90","3","Practical","8","Average"
"36","Male","Rural","Post Graduate","20","8","Mobile","Middle Class","4","3","No","Yes","4","7","1","No","No","yes","21-30","4","Practical","8","Good"
"37","Male","Urban","Under Graduate","18","5","Laptop","Middle Class","3","5","Yes","No","8","7","1","Yes","Yes","No","81-90","5","Practical","9","Good"
"38","Male","Urban","Under Graduate","18","6","Laptop","Middle Class","4","3","No","Yes","3","7","1","No","No","No","71-80","4","Practical","8","Average"
"39","Male","Rural","Post Graduate","21","8","Mobile","Middle Class","7","3","No","No","2","7","8","Yes","No","yes","71-80","2","Practical","6","Bad"
"40","Female","Rural","Under Graduate","17","6","Laptop","Middle Class","4","4","No","No","7","9","3","No","Yes","No","81-90","4","Both","9","Good"
"41","Female","Urban","Post Graduate","26","2","Laptop","Middle Class","4","4","No","No","1","6","1","Yes","No","No","81-90","3","Practical","7","Average"
"42","Female","Urban","School","19","5","Laptop","Middle Class","3","4","No","Yes","4","6","4","No","Yes","No","71-80","2","Theory","4","Bad"
"43","Male","Urban","Post Graduate","21","6","Mobile","Middle Class","4","3","No","Yes","3","7","3","Yes","Yes","yes","20-Nov","4","Both","4","Good"
"44","Female","Urban","Under Graduate","19","5","Laptop","Middle Class","6","4","No","Yes","7","6","1","No","Yes","yes","81-90","3","Practical","6","Average"
"45","Male","Urban","Under Graduate","18","5","Laptop","Middle Class","5","2","Yes","Yes","4","2","3","No","Yes","No","81-90","2","Practical","8","Bad"
"46","Male","Urban","Under Graduate","21","7","Mobile","Middle Class","4","3","No","No","3","8","3","Yes","Yes","yes","71-80","2","Practical","8","Average"
"47","Female","Urban","Post Graduate","21","7","Mobile","Middle Class","5","3","No","No","3","5","3","Yes","Yes","No","71-80","2","Theory","6","Average"
"48","Female","Urban","Under Graduate","21","9","Laptop","Middle Class","5","3","No","No","4","10","3","No","Yes","No","41-50","2","Theory","6","Good"
"49","Male","Urban","Post Graduate","21","6","Desktop","Middle Class","5","2","No","Yes","3","6","3","Yes","Yes","No","81-90","3","Practical","6","Average"
"50","Male","Rural","Post Graduate","21","8","Mobile","Middle Class","5","1","No","No","6","8","3","Yes","Yes","yes","31-40","3","Practical","4","Bad"
"51","Female","Urban","School","9","6","Mobile","Middle Class","5","5","No","No","1","8","10","Yes","Yes","No","81-90","2","Practical","3","Bad"
"52","Male","Rural","Post Graduate","19","7","Mobile","Middle Class","4","3","No","No","1","7","3","No","No","No","71-80","3","Practical","7","Average"
"53","Male","Urban","Under Graduate","18","7","Desktop","Middle Class","4","4","Yes","Yes","2","7","1","No","No","No","91-100","5","Both","8","Good"
"54","Female","Urban","Post Graduate","23","17","Laptop","Middle Class","6","4","No","Yes","5","8","2","No","Yes","No","71-80","4","Practical","5","Bad"
"55","Male","Urban","Post Graduate","21","8","Mobile","Middle Class","4","4","Yes","No","6","8","6","Yes","Yes","yes","61-70","3","Theory","7","Average"
"56","Female","Rural","Post Graduate","21","8","Mobile","Middle Class","4","4","No","Yes","4","3","5","No","Yes","yes","31-40","2","Theory","6","Good"
"57","Male","Rural","Post Graduate","20","20","Mobile","Middle Class","4","4","No","No","2","7","3","Yes","Yes","yes","71-80","5","Theory","8","Good"
"58","Male","Urban","Post Graduate","20","8","Laptop","Middle Class","4","3","Yes","No","5","7","2","Yes","No","yes","61-70","2","Practical","6","Average"
"59","Male","Rural","Under Graduate","20","9","Mobile","Middle Class","5","4","Yes","Yes","5","6","1","No","No","No","51-60","2","Both","6","Average"
"60","Female","Urban","Post Graduate","22","7","Mobile","Middle Class","5","1","No","Yes","4","8","4","Yes","Yes","No","71-80","4","Practical","8","Good"
"61","Female","Urban","Under Graduate","20","7","Laptop","Middle Class","5","4","No","No","4","6","4","No","No","yes","81-90","2","Theory","7","Average"
"62","Female","Rural","Post Graduate","24","15","Laptop","Middle Class","5","3","No","Yes","4","6","3","No","No","No","61-70","3","Practical","8","Bad"
"63","Female","Rural","Post Graduate","21","7","Mobile","Middle Class","5","4","No","No","5","7","2","No","Yes","yes","71-80","4","Practical","8","Good"
"64","Female","Rural","Under Graduate","19","6","Mobile","Middle Class","4","4","No","Yes","3","7","2","Yes","Yes","No","81-90","4","Practical","6","Good"
"65","Female","Rural","Under Graduate","18","6","Laptop","Middle Class","4","3","No","Yes","5","10","4","Yes","No","No","51-60","3","Practical","10","Good"
"66","Female","Rural","Under Graduate","18","4","Mobile","Middle Class","4","3","No","Yes","5","6","3","Yes","Yes","yes","61-70","2","Theory","10","Good"
"67","Female","Urban","Under Graduate","18","6","Laptop","Middle Class","5","4","No","Yes","8","6","2","Yes","Yes","yes","71-80","4","Theory","8","Average"
"68","Female","Urban","Under Graduate","20","5","Mobile","Middle Class","4","3","No","Yes","2","9","2","No","Yes","yes","71-80","5","Theory","9","Good"
"69","Male","Urban","Under Graduate","19","7","Mobile","Middle Class","4","4","Yes","Yes","6","8","4","Yes","Yes","yes","61-70","4","Both","8","Average"
"70","Male","Urban","Post Graduate","9","3","Mobile","Middle Class","5","3","Yes","Yes","4","9","10","No","No","yes","91-100","3","Practical","6","Average"
"71","Female","Urban","Under Graduate","19","9","Laptop","Middle Class","4","4","No","No","4","7","3","No","Yes","yes","61-70","4","Both","10","Good"
"72","Female","Rural","Under Graduate","18","5","Mobile","Middle Class","5","2","Yes","No","3","7","1","No","No","No","71-80","2","Practical","2","Bad"
"73","Female","Urban","Under Graduate","19","6","Mobile","Middle Class","6","3","No","Yes","5","6","3","Yes","No","yes","61-70","3","Practical","6","Average"
"74","Male","Urban","Post Graduate","21","8","Mobile","Middle Class","5","5","Yes","No","2","8","3","Yes","Yes","yes","61-70","4","Theory","8","Average"
"75","Female","Urban","Post Graduate","22","9","Mobile","Middle Class","6","3","Yes","Yes","5","7","2","No","No","No","71-80","4","Practical","7","Good"
"76","Female","Urban","Post Graduate","21","7","Mobile","Middle Class","4","1","No","No","5","10","8","No","Yes","yes","61-70","5","Theory","6","Average"
"77","Female","Rural","Under Graduate","19","6","Mobile","Poor","6","3","No","No","4","6","2","Yes","No","yes","61-70","4","Practical","10","Good"
"78","Male","Urban","Post Graduate","23","6","Laptop","Middle Class","4","5","No","No","6","8","1","Yes","Yes","yes","71-80","3","Both","6","Average"
"79","Male","Rural","Under Graduate","21","9","Laptop","Middle Class","5","3","Yes","Yes","6","8","3","No","No","No","51-60","4","Practical","6","Average"
"80","Female","Urban","Under Graduate","20","9","Mobile","Middle Class","5","3","No","No","2","7","1","No","No","yes","71-80","4","Theory","7","Bad"
"81","Male","Urban","Under Graduate","18","6","Laptop","Middle Class","4","4","No","No","2","5","1","No","No","No","71-80","3","Both","6","Average"
"82","Female","Urban","Post Graduate","20","6","Mobile","Middle Class","5","2","No","Yes","5","9","5","Yes","No","yes","21-30","2","Practical","10","Good"
"83","Male","Rural","Under Graduate","20","8","Laptop","Middle Class","7","5","No","No","6","7","2","No","Yes","No","71-80","4","Theory","7","Average"
"84","Female","Rural","Under Graduate","18","6","Mobile","Middle Class","7","3","No","No","10","10","10","Yes","Yes","yes","81-90","3","Theory","10","Good"
"85","Female","Rural","Under Graduate","20","5","Mobile","Middle Class","5","5","No","Yes","9","10","6","Yes","Yes","yes","51-60","5","Theory","10","Average"
"86","Female","Urban","Post Graduate","25","5","Laptop","Middle Class","7","4","No","Yes","4","5","1","No","No","yes","71-80","3","Practical","7","Average"
"87","Female","Urban","Under Graduate","19","8","Mobile","Middle Class","5","3","Yes","Yes","1","10","10","No","No","No","51-60","3","Practical","6","Average"
"88","Female","Urban","Under Graduate","18","6","Mobile","Middle Class","4","3","Yes","Yes","6","7","5","Yes","No","yes","71-80","3","Practical","5","Average"
"89","Female","Rural","Under Graduate","19","5","Mobile","Middle Class","3","4","No","Yes","4","7","5","Yes","No","No","51-60","3","Theory","8","Good"
"90","Male","Rural","Post Graduate","23","5","Mobile","Middle Class","6","3","No","No","2","8","1","Yes","No","yes","61-70","4","Practical","7","Average"
"91","Female","Rural","Under Graduate","18","5","Mobile","Middle Class","3","5","Yes","No","6","7","2","Yes","No","yes","51-60","5","Practical","9","Good"
"92","Male","Urban","Under Graduate","19","5","Laptop","Middle Class","4","4","No","Yes","5","7","2","Yes","No","yes","71-80","4","Both","9","Average"
"93","Female","Rural","Under Graduate","18","6","Mobile","Middle Class","5","2","No","Yes","5","6","2","Yes","No","No","71-80","5","Theory","10","Good"
"94","Female","Urban","Under Graduate","20","5","Mobile","Middle Class","4","3","Yes","Yes","2","7","3","Yes","No","No","41-50","3","Practical","6","Average"
"95","Female","Urban","Post Graduate","22","9","Laptop","Middle Class","4","3","No","Yes","6","7","1","No","Yes","No","81-90","3","Theory","7","Average"
"96","Male","Urban","Under Graduate","19","6","Laptop","Middle Class","3","4","No","Yes","6","7","3","Yes","No","No","81-90","3","Both","6","Average"
"97","Male","Urban","Under Graduate","18","4","Laptop","Middle Class","4","3","Yes","No","1","4","5","Yes","No","yes","31-40","1","Both","2","Bad"
"98","Male","Rural","Post Graduate","21","7","Mobile","Middle Class","4","3","No","No","7","6","2","Yes","No","No","71-80","4","Practical","8","Average"
"99","Female","Rural","Under Graduate","20","7","Mobile","Middle Class","5","3","No","Yes","4","8","3","Yes","No","No","71-80","5","Both","8","Average"
"100","Male","Urban","School","18","5","Laptop","Middle Class","6","3","Yes","No","2","8","1","Yes","Yes","No","91-100","3","Practical","7","Good"
"101","Male","Rural","Under Graduate","18","5","Laptop","Middle Class","4","3","Yes","Yes","1","6","3","Yes","Yes","No","91-100","1","Practical","2","Bad"
"102","Female","Rural","Under Graduate","20","6","Mobile","Middle Class","4","2","No","No","2","7","2","Yes","No","No","51-60","2","Practical","10","Good"
"103","Female","Rural","Under Graduate","19","9","Mobile","Middle Class","6","1","Yes","No","3","6","2","Yes","No","No","71-80","1","Practical","5","Average"
"104","Female","Urban","Under Graduate","18","4","Mobile","Middle Class","3","4","No","No","5","7","1","No","Yes","No","51-60","4","Theory","9","Good"
"105","Female","Urban","Under Graduate","19","7","Mobile","Middle Class","4","3","No","No","1","6","7","No","No","No","81-90","2","Both","4","Bad"
"106","Male","Urban","Under Graduate","19","5","Laptop","Middle Class","4","5","No","No","4","7","5","No","No","No","71-80","2","Practical","4","Bad"
"107","Male","Rural","Post Graduate","18","20","Laptop","Middle Class","4","3","No","Yes","4","10","6","Yes","No","No","61-70","3","Both","6","Average"
"108","Male","Urban","Under Graduate","20","8","Laptop","Middle Class","4","4","No","Yes","5","8","3","Yes","Yes","yes","81-90","3","Theory","8","Average"
"109","Female","Urban","Under Graduate","18","6","Laptop","Middle Class","5","4","No","Yes","5","7","9","Yes","Yes","yes","91-100","1","Practical","6","Bad"
"110","Male","Urban","Under Graduate","19","7","Laptop","Middle Class","3","3","No","No","3","6","2","Yes","Yes","No","61-70","1","Practical","2","Bad"
"111","Female","Urban","Post Graduate","19","7","Laptop","Middle Class","5","4","Yes","Yes","5","8","3","No","Yes","No","21-30","3","Practical","7","Average"
"112","Male","Urban","Under Graduate","19","7","Desktop","Middle Class","4","4","Yes","No","3","5","2","Yes","No","yes","81-90","3","Both","8","Average"
"113","Male","Urban","Under Graduate","18","8","Laptop","Middle Class","4","3","No","Yes","6","7","2","No","No","No","91-100","3","Practical","7","Bad"
"114","Male","Urban","Under Graduate","19","8","Laptop","Middle Class","4","3","No","No","10","6","2","Yes","No","No","71-80","1","Theory","2","Bad"
"115","Male","Rural","Under Graduate","19","7","Mobile","Middle Class","5","3","Yes","No","4","8","3","Yes","Yes","No","61-70","3","Both","6","Average"
"116","Male","Urban","Under Graduate","19","7","Mobile","Middle Class","4","4","No","No","1","9","2","No","Yes","No","71-80","1","Practical","3","Average"
"117","Male","Urban","School","19","7","Laptop","Middle Class","4","3","No","No","3","4","1","Yes","Yes","No","81-90","3","Both","6","Average"
"118","Male","Urban","Under Graduate","18","8","Laptop","Middle Class","6","4","No","Yes","5","7","3","No","No","yes","71-80","3","Theory","7","Average"
"119","Male","Urban","Under Graduate","19","6","Laptop","Middle Class","4","3","No","Yes","3","7","2","Yes","Yes","No","71-80","4","Theory","8","Good"
"120","Male","Rural","Under Graduate","20","8","Mobile","Middle Class","4","2","No","Yes","3","8","2","Yes","No","yes","81-90","2","Both","7","Bad"
"121","Male","Rural","Under Graduate","19","7","Laptop","Middle Class","5","4","No","Yes","8","6","1","Yes","No","yes","81-90","1","Practical","8","Bad"
"122","Female","Rural","Under Graduate","18","8","Laptop","Middle Class","4","4","No","Yes","7","6","1","No","Yes","No","81-90","3","Theory","6","Average"
"123","Male","Urban","Post Graduate","20","6","Laptop","Middle Class","6","2","Yes","Yes","5","8","3","No","Yes","yes","81-90","3","Both","5","Average"
"124","Female","Urban","Under Graduate","18","7","Laptop","Middle Class","4","5","No","Yes","6","7","1","Yes","Yes","No","91-100","3","Practical","7","Good"
"125","Male","Rural","Under Graduate","19","7","Laptop","Middle Class","4","4","Yes","Yes","4","8","2","Yes","No","No","91-100","3","Both","8","Average"
"126","Male","Urban","Under Graduate","18","8","Laptop","Middle Class","4","4","No","Yes","2","6","1","No","No","No","91-100","1","Both","4","Bad"
"127","Female","Urban","Under Graduate","19","7","Laptop","Middle Class","4","4","No","No","3","7","1","No","No","No","61-70","2","Theory","6","Average"
"128","Male","Rural","Under Graduate","19","6","Mobile","Middle Class","5","3","Yes","No","3","8","2","Yes","Yes","No","71-80","3","Practical","8","Average"
"129","Female","Urban","Under Graduate","18","8","Laptop","Middle Class","4","3","No","Yes","7","5","1","No","No","yes","91-100","3","Both","7","Good"
"130","Female","Urban","Under Graduate","19","6","Mobile","Poor","4","2","No","No","4","6","2","Yes","No","No","81-90","2","Both","8","Good"
"131","Male","Urban","Under Graduate","17","4","Laptop","Rich","4","5","Yes","Yes","2","8","6","No","Yes","No","91-100","1","Both","2","Bad"
"132","Female","Urban","Under Graduate","18","7","Laptop","Middle Class","4","3","No","Yes","3","8","4","No","No","No","81-90","2","Practical","6","Bad"
"133","Male","Urban","Under Graduate","19","8","Laptop","Middle Class","4","4","No","No","4","6","1","No","No","No","81-90","2","Both","5","Bad"
"134","Male","Urban","Under Graduate","19","7","Mobile","Middle Class","4","2","Yes","No","8","9","1","Yes","No","yes","81-90","1","Both","8","Bad"
"135","Female","Rural","Under Graduate","18","8","Laptop","Middle Class","4","4","No","No","4","7","1","Yes","Yes","No","81-90","4","Practical","9","Average"
"136","Female","Urban","Under Graduate","18","8","Laptop","Middle Class","4","4","No","Yes","3","5","4","Yes","No","No","91-100","3","Practical","8","Average"
"137","Male","Urban","Post Graduate","19","7","Laptop","Middle Class","9","3","No","Yes","4","5","2","Yes","Yes","No","81-90","3","Both","6","Good"
"138","Female","Rural","Under Graduate","21","6","Mobile","Middle Class","4","4","No","Yes","5","6","2","No","No","yes","71-80","3","Theory","7","Average"
"139","Female","Urban","Under Graduate","19","8","Laptop","Middle Class","4","5","No","Yes","8","8","1","No","Yes","yes","91-100","4","Practical","9","Good"
"140","Female","Urban","Under Graduate","18","8","Mobile","Middle Class","4","4","Yes","Yes","3","8","3","No","Yes","No","61-70","3","Theory","4","Average"
"141","Female","Urban","Under Graduate","18","6","Laptop","Middle Class","4","4","No","Yes","3","8","3","No","Yes","yes","91-100","3","Theory","7","Average"
"142","Male","Urban","Under Graduate","19","8","Laptop","Middle Class","5","4","No","Yes","5","6","2","No","No","No","81-90","3","Practical","6","Bad"
"143","Male","Rural","Under Graduate","18","8","Laptop","Middle Class","4","3","No","Yes","7","7","2","No","Yes","yes","81-90","3","Practical","6","Average"
"144","Female","Urban","Under Graduate","22","4","Laptop","Middle Class","4","5","Yes","No","2","8","1","No","Yes","yes","81-90","2","Both","9","Bad"
"145","Female","Urban","Under Graduate","20","7","Mobile","Middle Class","3","2","No","Yes","5","7","2","Yes","No","No","81-90","5","Both","8","Good"
"146","Male","Urban","Post Graduate","19","8","Laptop","Middle Class","4","4","Yes","Yes","4","8","3","Yes","Yes","yes","51-60","3","Theory","7","Average"
"147","Female","Urban","School","19","7","Mobile","Middle Class","4","3","No","Yes","4","8","2","Yes","Yes","No","71-80","2","Theory","6","Average"
"148","Female","Urban","Under Graduate","19","8","Laptop","Middle Class","4","4","No","Yes","5","3","3","No","No","No","81-90","3","Practical","8","Average"
"149","Male","Urban","Under Graduate","20","7","Laptop","Middle Class","3","4","Yes","Yes","8","8","4","Yes","No","No","81-90","2","Theory","6","Average"
"150","Male","Urban","Under Graduate","20","6","Laptop","Middle Class","4","4","No","No","5","6","1","No","No","No","81-90","1","Practical","6","Bad"
"151","Male","Urban","Under Graduate","20","7","Laptop","Middle Class","3","2","Yes","No","2","6","1","Yes","No","No","81-90","1","Practical","3","Bad"
"152","Male","Rural","School","21","1","Laptop","Poor","10","3","No","No","2","8","10","Yes","No","No","31-40","2","Practical","6","Average"
"153","Female","Urban","Under Graduate","20","8","Laptop","Middle Class","5","4","No","Yes","10","9","3","No","Yes","yes","91-100","2","Practical","6","Bad"
"154","Female","Rural","Post Graduate","19","8","Laptop","Middle Class","6","3","No","No","2","6","1","No","No","yes","91-100","2","Practical","5","Bad"
"155","Male","Urban","Under Graduate","20","7","Laptop","Middle Class","4","4","No","Yes","5","7","3","Yes","Yes","No","81-90","2","Both","6","Bad"
"156","Male","Urban","Under Graduate","18","7","Laptop","Middle Class","3","4","Yes","No","6","7","1","No","Yes","yes","91-100","4","Both","8","Good"
"157","Male","Urban","Under Graduate","19","7","Laptop","Middle Class","4","4","No","No","5","7","4","No","Yes","No","81-90","3","Both","8","Average"
"158","Male","Urban","Under Graduate","19","20","Laptop","Middle Class","4","5","Yes","No","3","6","2","Yes","No","yes","91-100","3","Both","5","Bad"
"159","Female","Urban","Under Graduate","20","14","Laptop","Middle Class","4","5","No","No","6","8","3","No","Yes","yes","71-80","2","Both","7","Bad"
"160","Male","Rural","Under Graduate","21","8","Desktop","Middle Class","4","2","Yes","No","4","8","4","Yes","No","yes","81-90","3","Both","4","Bad"
"161","Male","Urban","School","21","16","Laptop","Middle Class","6","5","Yes","Yes","2","6","3","No","Yes","No","91-100","4","Both","9","Good"
"162","Female","Urban","Under Graduate","18","7","Laptop","Middle Class","4","5","No","Yes","5","8","8","No","Yes","yes","91-100","3","Theory","10","Average"
"163","Male","Urban","Under Graduate","18","6","Laptop","Middle Class","4","3","Yes","No","6","6","3","Yes","No","No","81-90","3","Practical","6","Average"
"164","Male","Rural","Under Graduate","19","8","Laptop","Middle Class","4","4","No","No","3","6","2","No","Yes","yes","71-80","2","Practical","7","Average"
"165","Male","Urban","School","19","6","Laptop","Middle Class","3","4","No","No","1","6","5","No","Yes","yes","81-90","2","Both","7","Average"
"166","Male","Urban","Under Graduate","20","6","Laptop","Middle Class","3","4","No","No","4","7","2","No","Yes","No","81-90","2","Theory","8","Average"
"167","Female","Urban","Under Graduate","19","8","Laptop","Middle Class","5","5","No","No","5","8","2","No","Yes","yes","91-100","3","Both","10","Average"
"168","Male","Urban","Under Graduate","19","8","Laptop","Middle Class","4","3","No","No","4","8","4","No","Yes","No","81-90","2","Practical","7","Average"
"169","Female","Urban","Under Graduate","20","6","Laptop","Middle Class","4","4","Yes","No","2","7","2","No","Yes","yes","81-90","4","Practical","7","Average"
"170","Female","Urban","Under Graduate","18","6","Laptop","Middle Class","4","5","Yes","Yes","5","6","4","No","Yes","yes","81-90","2","Both","9","Bad"
"171","Male","Urban","Under Graduate","19","7","Laptop","Middle Class","4","4","No","No","1","7","3","Yes","Yes","No","91-100","2","Both","8","Average"
"172","Male","Urban","Under Graduate","20","7","Laptop","Middle Class","3","5","Yes","Yes","2","7","3","Yes","Yes","No","71-80","3","Both","6","Bad"
"173","Female","Urban","Under Graduate","19","8","Laptop","Middle Class","4","4","No","No","5","8","3","No","Yes","yes","81-90","1","Practical","7","Average"
"174","Male","Urban","Under Graduate","20","7","Laptop","Rich","3","5","Yes","Yes","1","7","1","No","Yes","No","71-80","1","Both","8","Bad"
"175","Female","Urban","Under Graduate","18","7","Laptop","Rich","4","4","Yes","No","4","8","7","No","Yes","No","91-100","3","Practical","5","Average"
"176","Male","Urban","Under Graduate","21","2","Laptop","Middle Class","4","5","Yes","Yes","1","6","7","Yes","Yes","No","61-70","5","Both","10","Good"
"177","Male","Urban","Under Graduate","19","7","Laptop","Rich","6","5","Yes","No","4","9","2","Yes","No","No","91-100","3","Practical","10","Good"
"178","Male","Urban","Under Graduate","22","6","Laptop","Middle Class","8","5","Yes","Yes","4","7","2","Yes","No","yes","71-80","4","Theory","8","Average"
"179","Male","Urban","Under Graduate","20","8","Laptop","Middle Class","3","4","Yes","No","7","8","2","No","Yes","No","91-100","4","Practical","8","Average"
"180","Male","Urban","Under Graduate","22","14","Laptop","Middle Class","4","3","Yes","Yes","7","7","5","Yes","Yes","No","71-80","2","Practical","6","Average"
"181","Female","Urban","Under Graduate","18","8","Laptop","Middle Class","5","4","No","No","3","8","3","Yes","No","No","71-80","1","Practical","7","Average"
"182","Female","Urban","Under Graduate","19","8","Laptop","Middle Class","5","3","No","Yes","8","6","5","No","Yes","No","81-90","1","Both","5","Average"
"183","Male","Urban","Under Graduate","20","7","Laptop","Rich","4","4","Yes","No","1","8","6","No","No","No","71-80","2","Theory","5","Bad"
"184","Male","Rural","Under Graduate","19","7","Laptop","Middle Class","4","5","Yes","No","4","5","1","Yes","No","No","81-90","3","Both","8","Average"
"185","Male","Urban","School","19","5","Laptop","Middle Class","3","3","No","Yes","1","6","1","No","Yes","No","71-80","1","Practical","6","Bad"
"186","Male","Urban","Under Graduate","21","4","Laptop","Rich","4","5","Yes","No","2","8","1","No","No","No","91-100","3","Both","10","Good"
"187","Male","Urban","Under Graduate","20","6","Laptop","Middle Class","5","5","No","Yes","2","8","3","No","Yes","No","61-70","1","Practical","5","Bad"
"188","Male","Urban","Under Graduate","20","7","Laptop","Middle Class","3","5","No","No","8","7","1","Yes","No","No","81-90","2","Practical","7","Average"
"189","Male","Urban","Under Graduate","18","8","Mobile","Middle Class","5","4","No","Yes","4","7","2","Yes","No","No","71-80","3","Both","7","Average"
"190","Male","Urban","Under Graduate","19","8","Laptop","Middle Class","5","5","No","No","2","7","1","Yes","Yes","No","91-100","2","Both","8","Bad"
"191","Female","Urban","Under Graduate","19","8","Laptop","Middle Class","4","5","No","Yes","6","7","2","No","Yes","No","91-100","3","Practical","8","Average"
